Full Name,Height,Weight,Reach,SLpM.,Str.Acc.,SApM,Str.Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,win,loss,draw
Danny Abbadi,0.2823982238494412,-0.30369724809086374,-0.08759349727766971,0.13275884948820763,-0.48866972318740076,0.26584704009263743,0.49906739505550496,-0.7736325208087238,-1.159646516580513,0.8892811424551029,-0.4835965924676263,-1.20984175265025,0.03727574880339884,-0.3272247016820785
Nariman Abbasov,-0.5708989092342786,-0.30369724809086374,-1.4806306286333575,-0.0372201694387086,-2.006443990511862,0.8012525727765122,-0.4958951227566229,-0.7736325208087238,-1.159646516580513,0.5388175264546102,-0.4835965924676263,1.760263892675557,-0.41291644392715376,-0.3272247016820785
David Abbott,0.5668306015440144,2.8368905099840163,1.4850006758462466,-1.0043421736780593,-1.1632360642204949,-0.09958848221540427,-1.2195042266199891,-0.23000777727167848,0.037893834617940866,0.5388175264546102,-0.4835965924676263,-0.46731534131879826,2.0631406160908856,-0.3272247016820785
Hamdy Abdelwahab,1.135695356933161,2.8083397121833356,0.01819815160039441,0.4727168873420401,0.6918213736205137,-0.2780569931100292,0.6799696710213466,0.7505490031269172,1.5620360997796092,-1.5639641695483466,-0.4835965924676263,-1.0860873507616748,-1.313300829388259,-0.3272247016820785
Mansur Abdul-Malik,1.135695356933161,0.5528266859295581,1.7668317285397714,2.0787255489273866,0.8604629588787873,0.18086203490472072,0.13726284312382256,-0.7736325208087238,-1.159646516580513,0.8255604850004679,-0.4835965924676263,-0.8385785469845242,-1.313300829388259,-0.3272247016820785
Shamil Abdurakhimov,1.4201277346277341,1.9803665759635942,1.0174173384228957,-0.3830395527727794,0.017255032587419648,-0.3247987459633833,0.3181651190896643,-0.2604914077503913,-0.3249971808967421,-0.1302493768190579,-0.4098596370292935,0.7702286775669547,0.48746794153395145,-0.3272247016820785
Hiroyuki Abe,-1.139763664623425,-0.589205226097671,-0.3853980335532524,-0.7933337363894738,-0.6573113084456744,-0.2865554936288209,1.04177422295303,-0.7736325208087238,-1.159646516580513,-0.5125733215468682,-0.4835965924676263,-0.7148241450959488,2.0631406160908856,3.7680798663161483
Daichi Abe,0.2823982238494412,0.12456471891934716,-0.23160664510523088,0.43168746898037047,-0.9102736863330844,0.29984104216780416,0.40861625707258514,-0.6059725531758032,0.6548085609929019,-1.5639641695483466,-0.4835965924676263,-0.9623329488730994,-0.8631086366577064,-0.3272247016820785
Papy Abedi,0.2823982238494412,0.5528266859295581,0.787052603717708,-0.1544470790434785,0.9447837515079242,-0.26955849259123754,-0.3149928467907817,0.9893374418768344,0.9088322718531798,0.029052266817529683,0.4749838282307,-0.46731534131879826,-0.41291644392715376,-0.3272247016820785
Ricardo Abreu,0.2823982238494412,0.5528266859295581,0.787052603717708,0.42582612350013216,-1.078915271591358,0.08312927893861659,1.4940299128676344,0.3085363611855812,0.3644957485811554,1.622068703183406,0.0325620956007032,-1.0860873507616748,-1.0882047330229827,-0.3272247016820785
Klidson Abreu,0.5668306015440144,1.1238426419431726,0.5178077450116451,-0.5940479900613652,-0.32002813792912715,-0.37578974907613333,0.3181651190896643,-0.4484737957024537,-0.43386448555114704,0.9848621286370556,-0.4835965924676263,0.1514566681240782,-0.41291644392715376,-0.3272247016820785
John Adajar,-0.2864665315397053,0.12456471891934716,0.7676125417172703,0.49030092378275547,0.6918213736205137,1.0604568385996582,-0.6767973987224646,-0.7736325208087238,-1.159646516580513,-1.5639641695483466,-0.4835965924676263,-0.9623329488730994,-0.8631086366577064,-0.3272247016820785
Juan Adams,1.9889924900168807,2.8368905099840163,2.0166365252453966,2.3600701319788335,0.9447837515079242,0.11712328101378308,-1.5813087785516722,-0.31129745854824603,1.2354341858163949,0.2520745679087522,-0.4835965924676263,-1.0860873507616748,-0.6380125402924302,-0.3272247016820785
Anthony Adams,0.8512629792385876,0.5528266859295581,1.0174173384228957,0.06242270372534569,-0.2357073452999908,0.9117330795208038,-0.6767973987224646,-0.7736325208087238,-1.159646516580513,-1.5639641695483466,-0.4835965924676263,-0.7148241450959488,-0.8631086366577064,-0.3272247016820785
Zarrukh Adashev,-1.4241960423179982,-1.1602211821112856,-1.7304354253389826,0.3437672867767932,-0.32002813792912715,-0.3163002454445916,1.132225360935951,-0.7736325208087238,-1.159646516580513,1.622068703183406,-0.11491181527596235,-1.20984175265025,-0.41291644392715376,-0.3272247016820785
Israel Adesanya,1.7045601123223073,0.5528266859295581,2.0166365252453966,0.5489143785851404,0.35453820310396644,-0.2440629910348625,0.40861625707258514,-0.7482294954097964,-0.7241772979628934,0.8255604850004679,-0.4098596370292935,1.2652462851212558,-0.41291644392715376,-0.3272247016820785
Mohamed Ado,0.2823982238494412,0.12456471891934716,1.0174173384228957,-0.8226404637906664,3.305765945123752,-1.4678470657408622,2.1271878787480794,1.7514282038446545,0.6548085609929019,0.029052266817529683,3.203251179449013,-1.0860873507616748,-1.0882047330229827,-0.3272247016820785
Nick Agallar,-0.5708989092342786,-0.30369724809086374,-0.08759349727766971,-1.3911909753737999,-2.765331124174093,0.3295857939835747,-0.8576996746883063,-0.7736325208087238,-1.159646516580513,-1.5639641695483466,-0.4835965924676263,1.2652462851212558,0.03727574880339884,-0.3272247016820785
Mariya Agapova,-1.139763664623425,-1.1602211821112856,-0.9810210352221068,0.8009522342353953,0.8604629588787873,-0.06984373039963333,0.04681170514090171,-0.4941992414205229,1.2354341858163949,-0.1302493768190579,0.10629905103903606,-0.46731534131879826,-0.18782034756187746,-0.3272247016820785
